2025-04-24 20:04,INSIGHT: In Silico Drug Screening Platform using Interpretable Deep Learning Network,"Shi, X., Ramathal, C., Dezso, Z.",bioRxiv,,"The large-scale multiplexed drug screening platforms like PRISM and GDSC facilitate the screening of drug treatments over 1,000 cancer cell lines. The cancer cell lines are well characterized by multiomics screening in CCLE and DepMap, enabling the application of AI and machine learning techniques to study the association between drug sensitivity and the underlying molecular profiles. The large scale and variety of data modalities enabled us to build an interpretable deep learning framework, INSIGHT, integrating the multiomics data and the drug's molecular structure to predict drug response. We trained our model on the PRISM screen for single treatments and on the DrugComb screen database for combination treatments. Our method enables the in-silico extension of current screens by predicting drug response in cancer cell lines not included in the screen, as well as the drug response to novel single agent or combination therapy by leveraging the drug's molecular structure. Furthermore, the deep learning framework was built to enable biological interpretation. The connections between the hidden layers of the neural network incorporate prior biological knowledge such as signaling pathways. This enables the model, in addition to predicting the drug sensitivity profiles, to prioritize the pathways predictive of drug response and identify pathways related to the mechanism of action (MOA) and potential off target effects of novel drugs. The evaluation of our model using cross-validation on the PRISM and DrugComb dataset showed an improved performance compared to previously developed biologically informed deep learning methods and traditional state of the art machine learning methods like elastic-net and XGBoost. We illustrated with examples the value of incorporating biological knowledge into INSIGHT by relating the pathway activity of the predictive models to the MOA.",https://www.biorxiv.org/content/10.1101/2025.04.21.649855v1?rss=1
2025-04-24 20:04,"SIMIT-seq: a bead-free, scalable microfluidic platform for single cell mRNA sequencing with ultrahigh cell-indexing rate","Duan, M., Gao, W., Li, G., Cai, Y., Zhao, Z., Lan, X., Wang, D., Xing, X., Luo, Y.",bioRxiv,,"SIMIT-seq is a bead-free, scalable microfluidic platform designed for high-efficiency single-cell mRNA sequencing. Conventional microfluidic-based single-cell RNA sequencing platforms rely heavily on barcoded beads and intricate co-encapsulation schemes, often constrained by double Poisson limitations and the complexities of bead synthesis. In contrast, SIMIT-seq eliminates the need for beads entirely by employing a deterministic, orthogonal barcoding strategy within a two-dimensional micro-well array. This platform achieves an impressive single-cell indexing rate of 96.6% without the need for complex microfluidic operations. Here, we describe the design and fabrication of the SIMIT-seq platform, outline its workflow for transcript capture and library preparation, and demonstrate its application in profiling K562 cells. Our results validate both the high fidelity of molecular barcode immobilization and the platform capability to support downstream single-cell mRNA sequencing. SIMIT-seq offers a cost-effective and scalable alternative for single-cell transcriptomics, providing a promising foundation for future single-cell omics applications.",https://www.biorxiv.org/content/10.1101/2025.04.23.650129v1?rss=1
2025-04-24 20:04,SCassist: An AI Based Workflow Assistant for Single-Cell Analysis,"Nagarajan, V., Shi, G., Arunkumar, S., Liu, C., Gopalakrishnan, J., Nath, P. R., Jang, J., Caspi, R.",bioRxiv,,"Single-cell RNA sequencing (scRNA-seq) data analysis often involves complex iterative workflow, requiring significant expertise and time. To navigate this complexity, we have developed SCassist, an R package that leverages the power of the large language models (LLM's) to guide and enhance scRNA-seq analysis. SCassist integrates LLM's into key workflow steps, to analyze user data and provide relevant recommendations for filtering, normalization and clustering parameters. It also provides LLM guided insightful interpretations of variable features and principal components, along with cell type annotations and enrichment analysis. SCassist provides intelligent assistance using popular LLM's like Google's Gemini and Meta's Llama3, making scRNA-seq analysis accessible to researchers at all levels. The SCassist package, along with the detailed tutorials, is available at GitHub - https://github.com/NIH-NEI/SCassist",https://www.biorxiv.org/content/10.1101/2025.04.22.650107v1?rss=1
2025-04-24 20:04,Shiny-Calorie: A context-aware application for indirect calorimetry data analysis and visualization using R,"Grein, S., Elschner, T., Kardinal, R., Bruder, J., Strohmeyer, A., Gunasekaran, K., Witt, J., Hermannsdottir, H., Behrens, J., U-Din, M., Yu, J., Heldmaier, G., Schreiber, R., Rozman, J., Heine, M., Scheja, L., Worthmann, A., Heeren, J., Wachten, D., Wilhelm-Juengling, K., Pfeifer, A., Hasenauer, J., Klingenspor, M.",bioRxiv,,"Indirect calorimetry is a cornerstone technique for metabolic phenotyping of animal models in preclinical research, with well-established experimental protocols and platforms. However, a flexible, extensible, and user-friendly software suite that enables standardized integration of data and metadata from diverse metabolic phenotyping platforms - followed by unified statistical analysis and visualization - remains absent. We present Shiny-Calorie, an open-source interactive web application for transparent data and metadata integration, comprehensive statistical data analysis, and visualization of indirect calorimetry datasets. Shiny-Calorie is compatible with data formats from widely used commercial metabolic phenotyping platforms, such as TSE and Sable Systems, and includes functionality for exporting processed data in these formats. Built using GNU R and a Shiny-based reactive interface, Shiny-Calorie enables intuitive exploration of complex, multi-modal longitudinal datasets comprising categorical, continuous, ordinal, and count variables. The platform incorporates state-of-the-art statistical methods for robust hypothesis testing, thereby facilitating biologically meaningful interpretation of energy metabolism phenotypes, including resting metabolic rate and energy expenditure. Overall, Shiny-Calorie streamlines routine analysis workflows and enhances reproducibility and transparency in metabolic phenotyping studies.",https://www.biorxiv.org/content/10.1101/2025.04.24.648116v1?rss=1
2025-04-24 20:04,SieveAI: Development of an Automated extensible and customisable drug discovery pipeline and its validation,"Sahu, V. K., Sand, A., Ballav, S., Raman, V., Nagar, S., Ranjan, A., Basu, S.",bioRxiv,,"Systematic Interaction Evaluation and Virtual Enhancement Analysis Interface (SieveAI) is an automated drug discovery pipeline developed to enhance the efficiency of virtual screening and computer-aided drug discovery processes. The molecular docking workflow encompasses acquiring, modeling, and pre-processing of molecular structure files, conducting docking with various algorithms, and subsequent analysis and interpretation of the outcomes by visualising or tabulating the results. While several open-source software tools are available to assist these operations at different steps of molecular docking, they often necessitate manual user intervention at every stage. To streamline and automate this extensive manual process and develop a comprehensive solution, we have developed an innovative, fully extensible, molecular docking pipeline SieveAI (Copyright Number L-129927/2023). The same has been demonstrated in this manuscript. SieveAI works with a range of open-source libraries, packages, and programs to facilitate automated drug discovery using established programs and software. The package is accessible at https://miRNA.in/SieveAI.",https://www.biorxiv.org/content/10.1101/2025.04.20.648820v1?rss=1
2025-04-24 20:04,DeltaBreed: A BrAPI-centric breeding data information system,"Yarnes, S. C., Palladino, N., Meidlinger, D. J., Philips, D. R., Sweeney, H. M., Mustafa, S., Mandych, M. L., Bouabane, S., Parsons, T. E., Slonecki, T. J., Zhao, D., Rife, T. W., Ellerbrock, B. J., Courtney, C., Selby, P., Flores-Gonzalez, M., Mueller, L. A., Aparicio, J. S., Al-Sham'aa, K., Raubach, S., Beil, C. T., Sheehan, M. J., Meng Lin, Edwin Reidel, Tyr Wiesner-Hanks, Arlyn J Ackerman, Alexandra M Casa, Alexander M Sandercoc",bioRxiv,,"DeltaBreed is a unified breeding data management system designed by Breeding Insight (BI, Cornell University) to serve the wide diversity of USDA-ARS specialty crop and animal breeding programs. DeltaBreed has a RESTful microservice architecture that utilizes the BrAPI Java Test Server as its primary database. The system is interoperable with many BrAPI-compliant applications (BrApps), including Field Book, and is continually aligned with the most recent BrAPI specifications. Here, we describe the features of DeltaBreed and provide several interoperability test cases to illustrate successes and challenges encountered during development. We also discuss future expansion and enhancement plans for DeltaBreed, as well as outline possible solutions to known limitations.",https://www.biorxiv.org/content/10.1101/2025.04.23.650200v1?rss=1
2025-04-24 20:04,Dynamic Contrastive Learning with Pretrained Deep Language Model Enhances Metagenome Binning for Contigs,"Zou, B., Zhang, Z., Tao, R., Gu, N., Zhang, L.",bioRxiv,,"The recovery of microbial genomes from large metagenomic datasets is a critical step for identifying uncultivated microbial populations and explaining their functional roles. This process requires metagenomic binning, which involves clustering assembled contigs into metagenome-assembled genomes (MAGs). However, existing computational binning methods often fail to leverage contigs' sequence context effectively. Most of them cannot incorporate taxonomic knowledge from external databases, and insufficient training data frequently limits the deep learning-based binning methods. To address these challenges, we propose CompleteBin, an innovative pretrained deep language model enhanced by dynamic contrastive learning. CompleteBin trains a pretrained deep language model using both long and short contigs and clusters the contigs based on their embeddings generated by the language model. This approach uniquely integrates the sequence context of contigs, incorporates taxonomic knowledge from external databases, and leverages unlimited data during training to significantly improve binning accuracy. Compared to state-of-the-art binning tools such as CONCOCT, MetaBAT2, SemiBin2, and COMEBin, CompleteBin achieves higher performance across both simulated datasets (CAMI I and II) and diverse real-world datasets, including ocean, plant, freshwater, and human fecal samples. On average, CompleteBin achieves a 39.7% improvement on simulated datasets and a 58.9% improvement on real-world datasets in terms of the number of near-complete MAGs when compared to the best-performing results of other binning methods. These results highlight CompleteBin's robust capability to recover high-quality MAGs from long and short contigs, establishing it as a powerful tool for advancing metagenomic research. CompleteBin is open-source and available at https://github.com/zoubohao/CompleteBin.",https://www.biorxiv.org/content/10.1101/2025.04.20.649691v1?rss=1
2025-04-24 20:04,An interpretable alphabet for local protein structure search based on amino acid neighborhoods,"Zerefa, S., Cool, J., Singh, P., Petti, S.",bioRxiv,,"Recent advancements in protein structure prediction methods have vastly increased the size of databases of protein structures, necessitating fast methods for protein structure comparison. Search methods that find structurally similar proteins can be applied to find remote homologs, study the functional relationships among proteins, and aid in protein engineering tasks. The structure comparison method Foldseek represents each protein structure as a sequence of ""3Di"" characters and uses highly optimized sequence comparison software to search with this alphabet. An alternate alphabet encoding richer features has the potential to improve search accuracy while leaving the underlying search algorithm unchanged. We design a ""3Dn"" structural alphabet that encodes the local neighborhoods around each amino acid in an interpretable way. In a search benchmark task, a combination of our alphabet and Foldseek's 3Di alphabet, outperforms each alphabet individually and ranks best among local search methods that do not require amino acid identity information. We provide software tools that enable the exploration of novel alphabets and combinations of alphabets for protein structure search.",https://www.biorxiv.org/content/10.1101/2025.04.21.649886v1?rss=1
2025-04-24 20:04,Label-free quantification in the Crux toolkit,"Acquaye, F. L. N. A., Wen, B., Grant, C. E., Noble, W. S., Kertesz-Farkas, A.",bioRxiv,,"Ultimately, most tandem mass spectrometry (MS/MS) proteomics experiments aim to not just detect but also quantify the proteins in a given complex sample. Here, we describe an extension to the Crux MS/MS analysis toolkit to enable label-free quantification of peptides. We demonstrate that Crux's new quantification command, which is modeled after the algorithms implemented in the widely used FlashLFQ software, is both efficient and accurate. In particular, we achieve a 1.9-fold speedup while reducing the memory usage by 26%. The new crux-lfq command is available in Crux v4.3.",https://www.biorxiv.org/content/10.1101/2025.04.21.649897v1?rss=1
2025-04-24 20:04,ProtHGT: Heterogeneous Graph Transformers for Automated Protein Function Prediction Using Biological Knowledge Graphs and Language Models,"Ulusoy, E., Dogan, T.",bioRxiv,,"Motivation: The rapid accumulation of protein sequence data, coupled with the slow pace of experimental annotations, creates a critical need for computational methods to predict protein functions. Existing models often rely on limited data types, such as sequence-based features or protein-protein interactions (PPIs), failing to capture the complex molecular relationships in biological systems. To address this, we developed ProtHGT, a heterogeneous graph transformer-based model that integrates diverse biological datasets into a unified framework using knowledge graphs for accurate and interpretable protein function prediction. Results: ProtHGT achieves state-of-the-art performance on benchmark datasets, demonstrating its ability to outperform current graph-based and sequence-based approaches. By leveraging diverse biological entity types and highly representative protein language model embeddings at the input level, the model effectively learns complex biological relationships, enabling accurate predictions across all Gene Ontology (GO) sub-ontologies. Ablation analyses highlight the critical role of heterogeneous data integration in achieving robust predictions. Finally, our use-case study has indicated that it's possible to interpret ProtHGT's predictions via exploring the related parts of our input biological knowledge graph, offering plausible explanations to build or test new hypotheses. Availability and Implementation: ProtHGT is available as a programmatic tool on https://github.com/HUBioDataLab/ProtHGT and as a web service on https://huggingface.co/spaces/HUBioDataLab/ProtHGT. Contact: To whom the correspondence should be addressed: Tunca Do[g]an (tuncadogan@gmail.com)",https://www.biorxiv.org/content/10.1101/2025.04.19.649272v1?rss=1
2025-04-24 20:04,Development of an Organoautocatalyzed Double σ-Bond C(sp2)-N Transamination Metathesis Reaction.,"Volker Klein, Florian Schuster, Jonas Amthor, Harald Maid, Prabhakar Bijalwan, Fahmi Himo, Stefano Santoro, Svetlana B Tsogoeva",PubMed,,"The transamination reaction, which involves the conversion of one amine to another, traditionally relies on biological enzyme catalysts. Although chemists have recently developed a few transition metal-catalyzed methods, mimicking these enzymes to interconvert amine groups in acyclic substrates via transamination metathesis of a single C(sp2)-N bond, transamination of cyclic tertiary amines has remained a challenge in synthetic chemistry. Here, we present the development of organoautocatalyzed transamination metathesis of two C(sp2)-N bonds in a cyclic substrate that allows for the challenging transformation to take place with up to 95% yield under exceptionally mild reaction conditions at room temperature without external catalysts and/or additives. The reaction mechanism has been studied in detail through time-resolved 1H-NMR, 2D NMR, and computational methods. Remarkably, in situ-formed pyrrolidinium salt acts as a hydrogen bond donor (HBD) organoautocatalyst in this multi-step domino process. The new organoautocatalyzed methodology gives environmentally friendly, atom-economical, straightforward, and rapid access to N-substituted 3,5-dinitro-1,4-dihydropyridines (DNDHPs), thus offering facile entry to privileged bioactive compounds.",https://pubmed.ncbi.nlm.nih.gov/40271817/
