id,enabled,formula,reaction_type,reactant1,reactant2,reactant3,product1,product2,product3,rxn,b,t1,t2,t3,t4,pmin,pmax,tmin,tmax,p_measurement,t_measurement,calibration_confidence,data_constraint_confidence,misc,ref
1,1,CdGeO3,1:1,Pyx,,,Gt,,,Pyx=>Gt,-0.4934,0.0017,,,,0.4,2.6,1073,1773,Not stated,Not stated,Poor,Good,Experimental+Calorimetrics,1
2,1,CdGeO3,1:1,Gt,,,Ilm,,,Gt=>Ilm,5.3258,0.0021,,,,6.5,8,1073,1773,Not stated,Not stated,Poor,Good,Experimental+Calorimetrics,1
3,0,CdGeO3,1:1,Ilm,,,Pv,,,Ilm=>Pv,11.8934,-0.0017,,,,10,11,1073,1773,Not stated,Not stated,Poor,Good,Experimental+Calorimetrics,1
4,0,CaGeO3,1:1,Gr,,,Pv,,,Gt=>Pv,6.9,-0.0008,,,,5.8,6.2,900,1140,NaCl (Decker 1971),Pt/Pt-Rh13,Good,Good,In situ X-ray,2
5,1,CaGeO3,1:1,Wol,,,Gt,,,Wol=>Gt,0.098,0.001,,,,0.7,1.3,600,1100,RT,Pt/Pt-Rh13,Fair,Good,Experimental+Calorimetrics,3
6,1,CaGeO3,1:1,Gt,,,Pv,,,Gt=>Pv (Calc),7.8,-0.0022,,,,5.3,7,600,1300,RT,Pt/Pt-Rh13,Fair,Good,Experimental+Calorimetrics (Calculated),3
7,1,CaGeO3,1:1,Gt,,,Pv,,,Gt=>Pv (Exp),7.227,-0.001,,,,5.8,6.7,600,1300,RT,Pt/Pt-Rh13,Fair,Good,Experimental+Calorimetrics (Experimental),3
8,1,CaSiO3,1:1,Wol,,,Wal,,,Wol=>Wal,4.9,-0.0015,,,,2.5,3.7,900,1600,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental+Calorimetrics,4
9,1,CaSiO3,1:2,Wal,,,Lar,Tit,,Wal=>Lar+Tit,6.2,0.003,,,,9,10.8,900,1600,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental+Calorimetrics,4
10,1,MgGeO3,1:1,Cpx,,,Ilm,,,Cpx=>Ilm,2.4044,0.0018,,,,3.5,5,800,1300,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental+Calorimetrics,5
11,1,NaAlSi3O8,1:2,Al,Nl,,Jd,,,Al+Nl=>Jd,-0.39,0.0021,,,,0.1,2,200,1100,,,,Fair,Calorimetrics,6
12,1,NaAlSi3O8,1:2,Al,,,Jd,Qtz,,Al=>Jd+Qtz,0.42,0.0019,,,,0.3,2.4,50,1100,,,,Fair,Calorimetrics,6
13,1,KAlSi3O8,1:3,San,,,Wd,Ky,Coe,San=>Wd+Ky+Coe,3.55,0.0026,,,,5,7.6,525,1525,Not stated,W3-Re97/W25-Re75,Fair,Good,Experimental+Calorimetrics,7
14,1,KAlSi3O8,1:3,Wd,Ky,Coe,Hol,,,Wd+Ky+Coe=>Hol,8.13,0.0011,,,,8.7,9.8,525,1525,Not stated,W3-Re97/W25-Re75,Fair,Good,Experimental+Calorimetrics,7
15,1,CaMgSi2O6,Melt,Di,,,Melt,,,Di=>Melt,-102.02,0.0606,,,,14.2,17.6,1900,1970,After Funamori et al 1996,W95-Re5/ W74-Re26,Good,Poor,Experimental,8
16,1,CaMgSi2O6,Melt,Gt,CaPv,,Melt,,,Gt+CaPv=>Melt,-58.902,0.0388,,,,17.6,24.2,1970,2150,After Funamori et al 1996,W95-Re5/ W74-Re26,Good,Poor,Experimental,8
17,1,CaMgSi2O6,Melt,MgPv,CaPv,,Melt,,,MgPv+CaPv=>Melt,-6.677,0.0144,,,,24.1,25.7,2140,2250,After Funamori et al 1996,W95-Re5/ W74-Re26,Good,Poor,Experimental,8
18,1,CaMgSi2O6,2:2,Gt,CaPv,,MgPv,CaPv,,Gt+CaPv=>MgPv+CaPv,16.834,0.0034,,,,23.3,24.2,1900,2150,After Funamori et al 1996,W95-Re5/ W74-Re26,Good,Poor,Experimental,8
19,1,CaMgSi2O6,1:3,Di,,,Wd,St,CaPv,Di=>Wd+St+CaPv,15.138,0.0022,,,,17.2,18.2,940,1400,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
20,1,CaMgSi2O6,1:2,Di,,,Gt,CaPv,,Di=>Gt+CaPv,19.646,-0.001,,,,17.7,18.2,1400,1860,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
21,1,CaMgSi2O6,3:2,Wd,St,CaPv,Gt,CaPv,,Wd+St+CaPv=>Gt+CaPV,-14.027,0.023,,,,18.2,19.45,1400,1450,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
22,1,CaMgSi2O6,3:3,Wd,St,CaPv,Rw,St,CaPv,Wd+St+CaPv=>Rw+St+CaPv,15.275,0.0029,,,,17.9,19.5,940,1450,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
23,1,CaMgSi2O6,3:2,Rw,St,CaPv,Gt,CaPv,,Rw+St+CaPv=>Ilm+CaPv,23.128,-0.002,,,,20.1,21.1,1000,1500,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
24,1,CaMgSi2O6,3:2,Rw,St,CaPv,Gt,CaPv,,Rw+St+CaPv=>Gt+CaPv,-1.4574,0.0144,,,,19.45,20.1,1450,1500,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
25,1,CaMgSi2O6,2:2,Gt,CaPv,,Ilm,CaPv,,Gt+CaPv=>Ilm+CaPv,13.38,0.0045,,,,20.1,21.75,1495,1860,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
26,1,CaMgSi2O6,2:2,Ilm,CaPv,,MgPv,CaPv,,Ilm+CaPv=>MgPv+CaPv,26.015,-0.0021,,,,22.1,31.1,1380,1860,RT+HT,Pt/Pt-Rh13,Good,Good,Experimental,4
